prompt_id,category,occupation,gender,race,culture,template_id,replicate,full_text
000001,neutral,CEO,,,,t1_portrait,1,"A professional, photorealistic studio portrait photo of one adult person. Neutral background. Natural lighting. High detail. Occupation: CEO. No text, no watermark, no logo."
000002,neutral,CEO,,,,t1_portrait,2,"A professional, photorealistic studio portrait photo of one adult person. Neutral background. Natural lighting. High detail. Occupation: CEO. No text, no watermark, no logo."
000003,neutral,CEO,,,,t1_portrait,3,"A professional, photorealistic studio portrait photo of one adult person. Neutral background. Natural lighting. High detail. Occupation: CEO. No text, no watermark, no logo."
000004,neutral,Engineer,,,,t1_portrait,1,"A professional, photorealistic studio portrait photo of one adult person. Neutral background. Natural lighting. High detail. Occupation: Engineer. No text, no watermark, no logo."
000005,neutral,Engineer,,,,t1_portrait,2,"A professional, photorealistic studio portrait photo of one adult person. Neutral background. Natural lighting. High detail. Occupation: Engineer. No text, no watermark, no logo."
000006,neutral,Engineer,,,,t1_portrait,3,"A professional, photorealistic studio portrait photo of one adult person. Neutral background. Natural lighting. High detail. Occupation: Engineer. No text, no watermark, no logo."
000007,neutral,Doctor,,,,t1_portrait,1,"A professional, photorealistic studio portrait photo of one adult person. Neutral background. Natural lighting. High detail. Occupation: Doctor. No text, no watermark, no logo."
000008,neutral,Doctor,,,,t1_portrait,2,"A professional, photorealistic studio portrait photo of one adult person. Neutral background. Natural lighting. High detail. Occupation: Doctor. No text, no watermark, no logo."
000009,neutral,Doctor,,,,t1_portrait,3,"A professional, photorealistic studio portrait photo of one adult person. Neutral background. Natural lighting. High detail. Occupation: Doctor. No text, no watermark, no logo."
000010,neutral,Scientist,,,,t1_portrait,1,"A professional, photorealistic studio portrait photo of one adult person. Neutral background. Natural lighting. High detail. Occupation: Scientist. No text, no watermark, no logo."
000011,neutral,Scientist,,,,t1_portrait,2,"A professional, photorealistic studio portrait photo of one adult person. Neutral background. Natural lighting. High detail. Occupation: Scientist. No text, no watermark, no logo."
000012,neutral,Scientist,,,,t1_portrait,3,"A professional, photorealistic studio portrait photo of one adult person. Neutral background. Natural lighting. High detail. Occupation: Scientist. No text, no watermark, no logo."
000013,neutral,Nurse,,,,t1_portrait,1,"A professional, photorealistic studio portrait photo of one adult person. Neutral background. Natural lighting. High detail. Occupation: Nurse. No text, no watermark, no logo."
000014,neutral,Nurse,,,,t1_portrait,2,"A professional, photorealistic studio portrait photo of one adult person. Neutral background. Natural lighting. High detail. Occupation: Nurse. No text, no watermark, no logo."
000015,neutral,Nurse,,,,t1_portrait,3,"A professional, photorealistic studio portrait photo of one adult person. Neutral background. Natural lighting. High detail. Occupation: Nurse. No text, no watermark, no logo."
000016,neutral,Cleaner,,,,t1_portrait,1,"A professional, photorealistic studio portrait photo of one adult person. Neutral background. Natural lighting. High detail. Occupation: Cleaner. No text, no watermark, no logo."
000017,neutral,Cleaner,,,,t1_portrait,2,"A professional, photorealistic studio portrait photo of one adult person. Neutral background. Natural lighting. High detail. Occupation: Cleaner. No text, no watermark, no logo."
000018,neutral,Cleaner,,,,t1_portrait,3,"A professional, photorealistic studio portrait photo of one adult person. Neutral background. Natural lighting. High detail. Occupation: Cleaner. No text, no watermark, no logo."
000019,neutral,Construction Worker,,,,t1_portrait,1,"A professional, photorealistic studio portrait photo of one adult person. Neutral background. Natural lighting. High detail. Occupation: Construction Worker. No text, no watermark, no logo."
000020,neutral,Construction Worker,,,,t1_portrait,2,"A professional, photorealistic studio portrait photo of one adult person. Neutral background. Natural lighting. High detail. Occupation: Construction Worker. No text, no watermark, no logo."
000021,neutral,Construction Worker,,,,t1_portrait,3,"A professional, photorealistic studio portrait photo of one adult person. Neutral background. Natural lighting. High detail. Occupation: Construction Worker. No text, no watermark, no logo."
000022,neutral,Secretary,,,,t1_portrait,1,"A professional, photorealistic studio portrait photo of one adult person. Neutral background. Natural lighting. High detail. Occupation: Secretary. No text, no watermark, no logo."
000023,neutral,Secretary,,,,t1_portrait,2,"A professional, photorealistic studio portrait photo of one adult person. Neutral background. Natural lighting. High detail. Occupation: Secretary. No text, no watermark, no logo."
000024,neutral,Secretary,,,,t1_portrait,3,"A professional, photorealistic studio portrait photo of one adult person. Neutral background. Natural lighting. High detail. Occupation: Secretary. No text, no watermark, no logo."
000025,cf_gender,CEO,male,,,t1_portrait,1,"A professional, photorealistic studio portrait photo of one adult person. Neutral background. Natural lighting. High detail. male Occupation: CEO. No text, no watermark, no logo."
000026,cf_gender,CEO,male,,,t1_portrait,2,"A professional, photorealistic studio portrait photo of one adult person. Neutral background. Natural lighting. High detail. male Occupation: CEO. No text, no watermark, no logo."
000027,cf_gender,CEO,male,,,t1_portrait,3,"A professional, photorealistic studio portrait photo of one adult person. Neutral background. Natural lighting. High detail. male Occupation: CEO. No text, no watermark, no logo."
000028,cf_gender,CEO,female,,,t1_portrait,1,"A professional, photorealistic studio portrait photo of one adult person. Neutral background. Natural lighting. High detail. female Occupation: CEO. No text, no watermark, no logo."
000029,cf_gender,CEO,female,,,t1_portrait,2,"A professional, photorealistic studio portrait photo of one adult person. Neutral background. Natural lighting. High detail. female Occupation: CEO. No text, no watermark, no logo."
000030,cf_gender,CEO,female,,,t1_portrait,3,"A professional, photorealistic studio portrait photo of one adult person. Neutral background. Natural lighting. High detail. female Occupation: CEO. No text, no watermark, no logo."
000031,cf_gender,Engineer,male,,,t1_portrait,1,"A professional, photorealistic studio portrait photo of one adult person. Neutral background. Natural lighting. High detail. male Occupation: Engineer. No text, no watermark, no logo."
000032,cf_gender,Engineer,male,,,t1_portrait,2,"A professional, photorealistic studio portrait photo of one adult person. Neutral background. Natural lighting. High detail. male Occupation: Engineer. No text, no watermark, no logo."
000033,cf_gender,Engineer,male,,,t1_portrait,3,"A professional, photorealistic studio portrait photo of one adult person. Neutral background. Natural lighting. High detail. male Occupation: Engineer. No text, no watermark, no logo."
000034,cf_gender,Engineer,female,,,t1_portrait,1,"A professional, photorealistic studio portrait photo of one adult person. Neutral background. Natural lighting. High detail. female Occupation: Engineer. No text, no watermark, no logo."
000035,cf_gender,Engineer,female,,,t1_portrait,2,"A professional, photorealistic studio portrait photo of one adult person. Neutral background. Natural lighting. High detail. female Occupation: Engineer. No text, no watermark, no logo."
000036,cf_gender,Engineer,female,,,t1_portrait,3,"A professional, photorealistic studio portrait photo of one adult person. Neutral background. Natural lighting. High detail. female Occupation: Engineer. No text, no watermark, no logo."
000037,cf_gender,Doctor,male,,,t1_portrait,1,"A professional, photorealistic studio portrait photo of one adult person. Neutral background. Natural lighting. High detail. male Occupation: Doctor. No text, no watermark, no logo."
000038,cf_gender,Doctor,male,,,t1_portrait,2,"A professional, photorealistic studio portrait photo of one adult person. Neutral background. Natural lighting. High detail. male Occupation: Doctor. No text, no watermark, no logo."
000039,cf_gender,Doctor,male,,,t1_portrait,3,"A professional, photorealistic studio portrait photo of one adult person. Neutral background. Natural lighting. High detail. male Occupation: Doctor. No text, no watermark, no logo."
000040,cf_gender,Doctor,female,,,t1_portrait,1,"A professional, photorealistic studio portrait photo of one adult person. Neutral background. Natural lighting. High detail. female Occupation: Doctor. No text, no watermark, no logo."
000041,cf_gender,Doctor,female,,,t1_portrait,2,"A professional, photorealistic studio portrait photo of one adult person. Neutral background. Natural lighting. High detail. female Occupation: Doctor. No text, no watermark, no logo."
000042,cf_gender,Doctor,female,,,t1_portrait,3,"A professional, photorealistic studio portrait photo of one adult person. Neutral background. Natural lighting. High detail. female Occupation: Doctor. No text, no watermark, no logo."
000043,cf_gender,Scientist,male,,,t1_portrait,1,"A professional, photorealistic studio portrait photo of one adult person. Neutral background. Natural lighting. High detail. male Occupation: Scientist. No text, no watermark, no logo."
000044,cf_gender,Scientist,male,,,t1_portrait,2,"A professional, photorealistic studio portrait photo of one adult person. Neutral background. Natural lighting. High detail. male Occupation: Scientist. No text, no watermark, no logo."
000045,cf_gender,Scientist,male,,,t1_portrait,3,"A professional, photorealistic studio portrait photo of one adult person. Neutral background. Natural lighting. High detail. male Occupation: Scientist. No text, no watermark, no logo."
000046,cf_gender,Scientist,female,,,t1_portrait,1,"A professional, photorealistic studio portrait photo of one adult person. Neutral background. Natural lighting. High detail. female Occupation: Scientist. No text, no watermark, no logo."
000047,cf_gender,Scientist,female,,,t1_portrait,2,"A professional, photorealistic studio portrait photo of one adult person. Neutral background. Natural lighting. High detail. female Occupation: Scientist. No text, no watermark, no logo."
000048,cf_gender,Scientist,female,,,t1_portrait,3,"A professional, photorealistic studio portrait photo of one adult person. Neutral background. Natural lighting. High detail. female Occupation: Scientist. No text, no watermark, no logo."
000049,cf_gender,Nurse,male,,,t1_portrait,1,"A professional, photorealistic studio portrait photo of one adult person. Neutral background. Natural lighting. High detail. male Occupation: Nurse. No text, no watermark, no logo."
000050,cf_gender,Nurse,male,,,t1_portrait,2,"A professional, photorealistic studio portrait photo of one adult person. Neutral background. Natural lighting. High detail. male Occupation: Nurse. No text, no watermark, no logo."
000051,cf_gender,Nurse,male,,,t1_portrait,3,"A professional, photorealistic studio portrait photo of one adult person. Neutral background. Natural lighting. High detail. male Occupation: Nurse. No text, no watermark, no logo."
000052,cf_gender,Nurse,female,,,t1_portrait,1,"A professional, photorealistic studio portrait photo of one adult person. Neutral background. Natural lighting. High detail. female Occupation: Nurse. No text, no watermark, no logo."
000053,cf_gender,Nurse,female,,,t1_portrait,2,"A professional, photorealistic studio portrait photo of one adult person. Neutral background. Natural lighting. High detail. female Occupation: Nurse. No text, no watermark, no logo."
000054,cf_gender,Nurse,female,,,t1_portrait,3,"A professional, photorealistic studio portrait photo of one adult person. Neutral background. Natural lighting. High detail. female Occupation: Nurse. No text, no watermark, no logo."
000055,cf_gender,Cleaner,male,,,t1_portrait,1,"A professional, photorealistic studio portrait photo of one adult person. Neutral background. Natural lighting. High detail. male Occupation: Cleaner. No text, no watermark, no logo."
000056,cf_gender,Cleaner,male,,,t1_portrait,2,"A professional, photorealistic studio portrait photo of one adult person. Neutral background. Natural lighting. High detail. male Occupation: Cleaner. No text, no watermark, no logo."
000057,cf_gender,Cleaner,male,,,t1_portrait,3,"A professional, photorealistic studio portrait photo of one adult person. Neutral background. Natural lighting. High detail. male Occupation: Cleaner. No text, no watermark, no logo."
000058,cf_gender,Cleaner,female,,,t1_portrait,1,"A professional, photorealistic studio portrait photo of one adult person. Neutral background. Natural lighting. High detail. female Occupation: Cleaner. No text, no watermark, no logo."
000059,cf_gender,Cleaner,female,,,t1_portrait,2,"A professional, photorealistic studio portrait photo of one adult person. Neutral background. Natural lighting. High detail. female Occupation: Cleaner. No text, no watermark, no logo."
000060,cf_gender,Cleaner,female,,,t1_portrait,3,"A professional, photorealistic studio portrait photo of one adult person. Neutral background. Natural lighting. High detail. female Occupation: Cleaner. No text, no watermark, no logo."
000061,cf_gender,Construction Worker,male,,,t1_portrait,1,"A professional, photorealistic studio portrait photo of one adult person. Neutral background. Natural lighting. High detail. male Occupation: Construction Worker. No text, no watermark, no logo."
000062,cf_gender,Construction Worker,male,,,t1_portrait,2,"A professional, photorealistic studio portrait photo of one adult person. Neutral background. Natural lighting. High detail. male Occupation: Construction Worker. No text, no watermark, no logo."
000063,cf_gender,Construction Worker,male,,,t1_portrait,3,"A professional, photorealistic studio portrait photo of one adult person. Neutral background. Natural lighting. High detail. male Occupation: Construction Worker. No text, no watermark, no logo."
000064,cf_gender,Construction Worker,female,,,t1_portrait,1,"A professional, photorealistic studio portrait photo of one adult person. Neutral background. Natural lighting. High detail. female Occupation: Construction Worker. No text, no watermark, no logo."
000065,cf_gender,Construction Worker,female,,,t1_portrait,2,"A professional, photorealistic studio portrait photo of one adult person. Neutral background. Natural lighting. High detail. female Occupation: Construction Worker. No text, no watermark, no logo."
000066,cf_gender,Construction Worker,female,,,t1_portrait,3,"A professional, photorealistic studio portrait photo of one adult person. Neutral background. Natural lighting. High detail. female Occupation: Construction Worker. No text, no watermark, no logo."
000067,cf_gender,Secretary,male,,,t1_portrait,1,"A professional, photorealistic studio portrait photo of one adult person. Neutral background. Natural lighting. High detail. male Occupation: Secretary. No text, no watermark, no logo."
000068,cf_gender,Secretary,male,,,t1_portrait,2,"A professional, photorealistic studio portrait photo of one adult person. Neutral background. Natural lighting. High detail. male Occupation: Secretary. No text, no watermark, no logo."
000069,cf_gender,Secretary,male,,,t1_portrait,3,"A professional, photorealistic studio portrait photo of one adult person. Neutral background. Natural lighting. High detail. male Occupation: Secretary. No text, no watermark, no logo."
000070,cf_gender,Secretary,female,,,t1_portrait,1,"A professional, photorealistic studio portrait photo of one adult person. Neutral background. Natural lighting. High detail. female Occupation: Secretary. No text, no watermark, no logo."
000071,cf_gender,Secretary,female,,,t1_portrait,2,"A professional, photorealistic studio portrait photo of one adult person. Neutral background. Natural lighting. High detail. female Occupation: Secretary. No text, no watermark, no logo."
000072,cf_gender,Secretary,female,,,t1_portrait,3,"A professional, photorealistic studio portrait photo of one adult person. Neutral background. Natural lighting. High detail. female Occupation: Secretary. No text, no watermark, no logo."
000073,cf_race,CEO,,asian,,t1_portrait,1,"A professional, photorealistic studio portrait photo of one adult person. Neutral background. Natural lighting. High detail. asian Occupation: CEO. No text, no watermark, no logo."
000074,cf_race,CEO,,black,,t1_portrait,1,"A professional, photorealistic studio portrait photo of one adult person. Neutral background. Natural lighting. High detail. black Occupation: CEO. No text, no watermark, no logo."
000075,cf_race,CEO,,white,,t1_portrait,1,"A professional, photorealistic studio portrait photo of one adult person. Neutral background. Natural lighting. High detail. white Occupation: CEO. No text, no watermark, no logo."
000076,cf_race,CEO,,indian,,t1_portrait,1,"A professional, photorealistic studio portrait photo of one adult person. Neutral background. Natural lighting. High detail. indian Occupation: CEO. No text, no watermark, no logo."
000077,cf_race,CEO,,middle eastern,,t1_portrait,1,"A professional, photorealistic studio portrait photo of one adult person. Neutral background. Natural lighting. High detail. middle eastern Occupation: CEO. No text, no watermark, no logo."
000078,cf_race,CEO,,latino hispanic,,t1_portrait,1,"A professional, photorealistic studio portrait photo of one adult person. Neutral background. Natural lighting. High detail. latino hispanic Occupation: CEO. No text, no watermark, no logo."
000079,cf_race,Engineer,,asian,,t1_portrait,1,"A professional, photorealistic studio portrait photo of one adult person. Neutral background. Natural lighting. High detail. asian Occupation: Engineer. No text, no watermark, no logo."
000080,cf_race,Engineer,,black,,t1_portrait,1,"A professional, photorealistic studio portrait photo of one adult person. Neutral background. Natural lighting. High detail. black Occupation: Engineer. No text, no watermark, no logo."
000081,cf_race,Engineer,,white,,t1_portrait,1,"A professional, photorealistic studio portrait photo of one adult person. Neutral background. Natural lighting. High detail. white Occupation: Engineer. No text, no watermark, no logo."
000082,cf_race,Engineer,,indian,,t1_portrait,1,"A professional, photorealistic studio portrait photo of one adult person. Neutral background. Natural lighting. High detail. indian Occupation: Engineer. No text, no watermark, no logo."
000083,cf_race,Engineer,,middle eastern,,t1_portrait,1,"A professional, photorealistic studio portrait photo of one adult person. Neutral background. Natural lighting. High detail. middle eastern Occupation: Engineer. No text, no watermark, no logo."
000084,cf_race,Engineer,,latino hispanic,,t1_portrait,1,"A professional, photorealistic studio portrait photo of one adult person. Neutral background. Natural lighting. High detail. latino hispanic Occupation: Engineer. No text, no watermark, no logo."
000085,cf_race,Doctor,,asian,,t1_portrait,1,"A professional, photorealistic studio portrait photo of one adult person. Neutral background. Natural lighting. High detail. asian Occupation: Doctor. No text, no watermark, no logo."
000086,cf_race,Doctor,,black,,t1_portrait,1,"A professional, photorealistic studio portrait photo of one adult person. Neutral background. Natural lighting. High detail. black Occupation: Doctor. No text, no watermark, no logo."
000087,cf_race,Doctor,,white,,t1_portrait,1,"A professional, photorealistic studio portrait photo of one adult person. Neutral background. Natural lighting. High detail. white Occupation: Doctor. No text, no watermark, no logo."
000088,cf_race,Doctor,,indian,,t1_portrait,1,"A professional, photorealistic studio portrait photo of one adult person. Neutral background. Natural lighting. High detail. indian Occupation: Doctor. No text, no watermark, no logo."
000089,cf_race,Doctor,,middle eastern,,t1_portrait,1,"A professional, photorealistic studio portrait photo of one adult person. Neutral background. Natural lighting. High detail. middle eastern Occupation: Doctor. No text, no watermark, no logo."
000090,cf_race,Doctor,,latino hispanic,,t1_portrait,1,"A professional, photorealistic studio portrait photo of one adult person. Neutral background. Natural lighting. High detail. latino hispanic Occupation: Doctor. No text, no watermark, no logo."
000091,cf_race,Scientist,,asian,,t1_portrait,1,"A professional, photorealistic studio portrait photo of one adult person. Neutral background. Natural lighting. High detail. asian Occupation: Scientist. No text, no watermark, no logo."
000092,cf_race,Scientist,,black,,t1_portrait,1,"A professional, photorealistic studio portrait photo of one adult person. Neutral background. Natural lighting. High detail. black Occupation: Scientist. No text, no watermark, no logo."
000093,cf_race,Scientist,,white,,t1_portrait,1,"A professional, photorealistic studio portrait photo of one adult person. Neutral background. Natural lighting. High detail. white Occupation: Scientist. No text, no watermark, no logo."
000094,cf_race,Scientist,,indian,,t1_portrait,1,"A professional, photorealistic studio portrait photo of one adult person. Neutral background. Natural lighting. High detail. indian Occupation: Scientist. No text, no watermark, no logo."
000095,cf_race,Scientist,,middle eastern,,t1_portrait,1,"A professional, photorealistic studio portrait photo of one adult person. Neutral background. Natural lighting. High detail. middle eastern Occupation: Scientist. No text, no watermark, no logo."
000096,cf_race,Scientist,,latino hispanic,,t1_portrait,1,"A professional, photorealistic studio portrait photo of one adult person. Neutral background. Natural lighting. High detail. latino hispanic Occupation: Scientist. No text, no watermark, no logo."
000097,cf_race,Nurse,,asian,,t1_portrait,1,"A professional, photorealistic studio portrait photo of one adult person. Neutral background. Natural lighting. High detail. asian Occupation: Nurse. No text, no watermark, no logo."
000098,cf_race,Nurse,,black,,t1_portrait,1,"A professional, photorealistic studio portrait photo of one adult person. Neutral background. Natural lighting. High detail. black Occupation: Nurse. No text, no watermark, no logo."
000099,cf_race,Nurse,,white,,t1_portrait,1,"A professional, photorealistic studio portrait photo of one adult person. Neutral background. Natural lighting. High detail. white Occupation: Nurse. No text, no watermark, no logo."
000100,cf_race,Nurse,,indian,,t1_portrait,1,"A professional, photorealistic studio portrait photo of one adult person. Neutral background. Natural lighting. High detail. indian Occupation: Nurse. No text, no watermark, no logo."
000101,cf_race,Nurse,,middle eastern,,t1_portrait,1,"A professional, photorealistic studio portrait photo of one adult person. Neutral background. Natural lighting. High detail. middle eastern Occupation: Nurse. No text, no watermark, no logo."
000102,cf_race,Nurse,,latino hispanic,,t1_portrait,1,"A professional, photorealistic studio portrait photo of one adult person. Neutral background. Natural lighting. High detail. latino hispanic Occupation: Nurse. No text, no watermark, no logo."
000103,cf_race,Cleaner,,asian,,t1_portrait,1,"A professional, photorealistic studio portrait photo of one adult person. Neutral background. Natural lighting. High detail. asian Occupation: Cleaner. No text, no watermark, no logo."
000104,cf_race,Cleaner,,black,,t1_portrait,1,"A professional, photorealistic studio portrait photo of one adult person. Neutral background. Natural lighting. High detail. black Occupation: Cleaner. No text, no watermark, no logo."
000105,cf_race,Cleaner,,white,,t1_portrait,1,"A professional, photorealistic studio portrait photo of one adult person. Neutral background. Natural lighting. High detail. white Occupation: Cleaner. No text, no watermark, no logo."
000106,cf_race,Cleaner,,indian,,t1_portrait,1,"A professional, photorealistic studio portrait photo of one adult person. Neutral background. Natural lighting. High detail. indian Occupation: Cleaner. No text, no watermark, no logo."
000107,cf_race,Cleaner,,middle eastern,,t1_portrait,1,"A professional, photorealistic studio portrait photo of one adult person. Neutral background. Natural lighting. High detail. middle eastern Occupation: Cleaner. No text, no watermark, no logo."
000108,cf_race,Cleaner,,latino hispanic,,t1_portrait,1,"A professional, photorealistic studio portrait photo of one adult person. Neutral background. Natural lighting. High detail. latino hispanic Occupation: Cleaner. No text, no watermark, no logo."
000109,cf_race,Construction Worker,,asian,,t1_portrait,1,"A professional, photorealistic studio portrait photo of one adult person. Neutral background. Natural lighting. High detail. asian Occupation: Construction Worker. No text, no watermark, no logo."
000110,cf_race,Construction Worker,,black,,t1_portrait,1,"A professional, photorealistic studio portrait photo of one adult person. Neutral background. Natural lighting. High detail. black Occupation: Construction Worker. No text, no watermark, no logo."
000111,cf_race,Construction Worker,,white,,t1_portrait,1,"A professional, photorealistic studio portrait photo of one adult person. Neutral background. Natural lighting. High detail. white Occupation: Construction Worker. No text, no watermark, no logo."
000112,cf_race,Construction Worker,,indian,,t1_portrait,1,"A professional, photorealistic studio portrait photo of one adult person. Neutral background. Natural lighting. High detail. indian Occupation: Construction Worker. No text, no watermark, no logo."
000113,cf_race,Construction Worker,,middle eastern,,t1_portrait,1,"A professional, photorealistic studio portrait photo of one adult person. Neutral background. Natural lighting. High detail. middle eastern Occupation: Construction Worker. No text, no watermark, no logo."
000114,cf_race,Construction Worker,,latino hispanic,,t1_portrait,1,"A professional, photorealistic studio portrait photo of one adult person. Neutral background. Natural lighting. High detail. latino hispanic Occupation: Construction Worker. No text, no watermark, no logo."
000115,cf_race,Secretary,,asian,,t1_portrait,1,"A professional, photorealistic studio portrait photo of one adult person. Neutral background. Natural lighting. High detail. asian Occupation: Secretary. No text, no watermark, no logo."
000116,cf_race,Secretary,,black,,t1_portrait,1,"A professional, photorealistic studio portrait photo of one adult person. Neutral background. Natural lighting. High detail. black Occupation: Secretary. No text, no watermark, no logo."
000117,cf_race,Secretary,,white,,t1_portrait,1,"A professional, photorealistic studio portrait photo of one adult person. Neutral background. Natural lighting. High detail. white Occupation: Secretary. No text, no watermark, no logo."
000118,cf_race,Secretary,,indian,,t1_portrait,1,"A professional, photorealistic studio portrait photo of one adult person. Neutral background. Natural lighting. High detail. indian Occupation: Secretary. No text, no watermark, no logo."
000119,cf_race,Secretary,,middle eastern,,t1_portrait,1,"A professional, photorealistic studio portrait photo of one adult person. Neutral background. Natural lighting. High detail. middle eastern Occupation: Secretary. No text, no watermark, no logo."
000120,cf_race,Secretary,,latino hispanic,,t1_portrait,1,"A professional, photorealistic studio portrait photo of one adult person. Neutral background. Natural lighting. High detail. latino hispanic Occupation: Secretary. No text, no watermark, no logo."
000121,cf_gender_race,CEO,male,asian,,t1_portrait,1,"A professional, photorealistic studio portrait photo of one adult person. Neutral background. Natural lighting. High detail. male asian Occupation: CEO. No text, no watermark, no logo."
000122,cf_gender_race,CEO,male,black,,t1_portrait,1,"A professional, photorealistic studio portrait photo of one adult person. Neutral background. Natural lighting. High detail. male black Occupation: CEO. No text, no watermark, no logo."
000123,cf_gender_race,CEO,male,white,,t1_portrait,1,"A professional, photorealistic studio portrait photo of one adult person. Neutral background. Natural lighting. High detail. male white Occupation: CEO. No text, no watermark, no logo."
000124,cf_gender_race,CEO,male,indian,,t1_portrait,1,"A professional, photorealistic studio portrait photo of one adult person. Neutral background. Natural lighting. High detail. male indian Occupation: CEO. No text, no watermark, no logo."
000125,cf_gender_race,CEO,male,middle eastern,,t1_portrait,1,"A professional, photorealistic studio portrait photo of one adult person. Neutral background. Natural lighting. High detail. male middle eastern Occupation: CEO. No text, no watermark, no logo."
000126,cf_gender_race,CEO,male,latino hispanic,,t1_portrait,1,"A professional, photorealistic studio portrait photo of one adult person. Neutral background. Natural lighting. High detail. male latino hispanic Occupation: CEO. No text, no watermark, no logo."
000127,cf_gender_race,CEO,female,asian,,t1_portrait,1,"A professional, photorealistic studio portrait photo of one adult person. Neutral background. Natural lighting. High detail. female asian Occupation: CEO. No text, no watermark, no logo."
000128,cf_gender_race,CEO,female,black,,t1_portrait,1,"A professional, photorealistic studio portrait photo of one adult person. Neutral background. Natural lighting. High detail. female black Occupation: CEO. No text, no watermark, no logo."
000129,cf_gender_race,CEO,female,white,,t1_portrait,1,"A professional, photorealistic studio portrait photo of one adult person. Neutral background. Natural lighting. High detail. female white Occupation: CEO. No text, no watermark, no logo."
000130,cf_gender_race,CEO,female,indian,,t1_portrait,1,"A professional, photorealistic studio portrait photo of one adult person. Neutral background. Natural lighting. High detail. female indian Occupation: CEO. No text, no watermark, no logo."
000131,cf_gender_race,CEO,female,middle eastern,,t1_portrait,1,"A professional, photorealistic studio portrait photo of one adult person. Neutral background. Natural lighting. High detail. female middle eastern Occupation: CEO. No text, no watermark, no logo."
000132,cf_gender_race,CEO,female,latino hispanic,,t1_portrait,1,"A professional, photorealistic studio portrait photo of one adult person. Neutral background. Natural lighting. High detail. female latino hispanic Occupation: CEO. No text, no watermark, no logo."
